Title,Artist,Genre,Year,BPM,Energy,Danceability,Length,Popularity
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60,193,72
Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,218,72
Company,Justin Bieber,canadian pop,2015,95,80,59,208,72
Sing,Ed Sheeran,pop,2015,120,67,82,235,71
Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,222,70
Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,202,70
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,293,70
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,233,69
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,199,69
Up,Olly Murs,dance pop,2015,115,85,69,224,69
Trumpets,Jason Derulo,dance pop,2015,82,70,63,217,69
Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,213,69
Same Old Love,Selena Gomez,dance pop,2015,98,59,67,229,69
I Want You To Know,Zedd,complextro,2015,130,85,58,240,68
Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78,183,68
I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,200,68
Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,199,68
I Lived,OneRepublic,dance pop,2015,120,85,59,235,67
Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69,235,67
Easy Love,Sigala,dance pop,2015,124,94,68,230,67
The Feeling,Justin Bieber,canadian pop,2015,127,81,53,245,67
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,205,66
BO$$,Fifth Harmony,dance pop,2015,103,87,81,171,66
Sugar,Maroon 5,pop,2015,120,79,75,235,66
Focus,Ariana Grande,dance pop,2015,100,88,67,211,66
All About That Bass,Meghan Trainor,dance pop,2015,134,88,81,189,65
On My Mind,Ellie Goulding,dance pop,2015,155,71,70,213,65
Love Me Like You,Little Mix,dance pop,2015,106,67,79,198,65
Broken Arrows,Avicii,big room,2015,116,67,63,233,65
Booty,Jennifer Lopez,dance pop,2015,129,95,71,210,64
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,204,64
Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,134,63
Lay It All on Me,Rudimental,dance pop,2015,123,75,67,242,62
American Oxygen,Rihanna,barbadian pop,2015,78,75,39,320,61
Bang Bang,Jessie J,australian pop,2015,150,75,71,199,61
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71,159,61
Alive,Sia,australian dance,2015,100,76,51,264,61
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64,219,60
Been You,Justin Bieber,canadian pop,2015,113,78,74,199,60
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76,189,58
